場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點,AED地點描述,第1近AED距離_公尺,第2近AED距離_公尺,第3近AED距離_公尺,最近急救醫院,至最近醫院距離_公尺,預估送醫車程_分鐘
臺北市立蘭州國民中學,大龍街187巷1號,63000060,25.069322,121.516736,其他,其他場所,本校大門口穿堂,本校大門口穿堂,42.2,91.1,213.2,馬偕紀念醫院(台北院區),1339.6,2.7
中興保全股份有限公司(1樓接待大廳),鄭州路139號,63000060,25.050491,121.510105,其他,其他場所,大廳入口左側,大廳入口左側,118.9,119.9,129.5,臺北市立聯合醫院(中興院區),53.3,0.1
統一健身俱樂部-市民館,重慶北路一段1-1號1樓,63000060,25.0494881,121.5139496,學校、大型集會場所,健身房,一樓櫃台旁,"統一健身俱樂部 市民館
台北市大同區重慶北路一段1-1號1樓",261.5,295.1,295.1,臺北市立聯合醫院(中興院區),452.7,0.9
欣葉國際餐飲股份有限公司新中山門市部,南京西路62號4樓,63000060,25.05275198,121.519042,其他,其他場所,臺北市大同區南京西路62號4樓,手扶梯上樓面對櫃台，於右手邊柱子,67.8,68.9,71.4,馬偕紀念醫院(台北院區),692.2,1.4
香港商世界健身事業有限公司台北寧夏分公司,寧夏路11號地下1樓,63000060,25.05471528,121.5150037,學校、大型集會場所,健身房,B1心肺區,B1心肺區通往B2樓梯口,152.9,152.9,154.5,臺北市立聯合醫院(中興院區),688.8,1.4
衛生福利部國民健康署台北辦公室,塔城街36號,63000060,25.051644,121.510316,其他,其他場所,1樓梯廳北側,衛生福利部國民健康署台北辦公室-台北市大同區塔城街36號1樓梯廳北側,59.5,129.5,150.5,臺北市立聯合醫院(中興院區),112.3,0.2
臺北市大同區永樂國民小學,延平北路二段266號,63000060,25.061297,121.511085,學校、大型集會場所,國小,一樓健康中心門口(靠近體育器材室),操場旁邊(感恩樓)，一樓健康中心前門右側，靠近體育器材室。,40.9,249.6,254.7,馬偕紀念醫院(台北院區),1169.5,2.3
臺北市大同區蓬萊國民小學,寧夏路35號,63000060,25.056387,121.51571,其他,其他場所,臺北市大同區蓬萊國民小學太原門穿堂,太原門穿堂,52.0,172.4,189.8,馬偕紀念醫院(台北院區),688.2,1.4
臺北孔廟,大龍街275號,63000060,25.072762,121.516179,觀光旅遊地區,文化園區,孔廟東苑側門入口,孔廟東苑側門入口,0.0,88.4,88.5,馬偕紀念醫院(台北院區),1713.2,3.4
臺北市大同區大同國民小學,大龍街51號健康中心,63000060,25.065022,121.516938,其他,其他場所,大同國小健康中心,"校內
向善樓
健康中心內 入口旁",84.7,84.7,105.9,馬偕紀念醫院(台北院區),914.5,1.8
臺北市政府環境保護局環保稽查大隊,重慶北路3段347號4樓,63000060,25.0748652,121.5140597,其他,其他場所,4樓服務臺,4樓服務臺,0.0,0.0,0.0,馬偕紀念醫院(台北院區),2010.3,4.0
香港商世界健身事業有限公司台北民權西分公司,民權西路136號一樓,63000060,25.062735,121.516484,學校、大型集會場所,健身房,B1入口處,B1入口樓梯旁,208.9,227.9,227.9,馬偕紀念醫院(台北院區),757.6,1.5
Curves可爾姿女性專用30分鐘環狀運動圓山花博店,承德路三段223-1號1樓,63000060,25.07012863,121.5186544,學校、大型集會場所,健身房,運動區落地窗角落,Curves圓山花博店入口左側落地窗角,200.5,203.1,209.6,馬偕紀念醫院(台北院區),1358.2,2.7
台北君品大酒店,承德路一段三號,63000060,25.049469,121.516874,旅宿場所,飯店,六樓大廳,從6F電梯出來，面對西側櫃檯，AED位於右側角落,0.0,0.0,62.0,臺北市立聯合醫院(中興院區),738.7,1.5
台北君品大酒店,承德路一段三號,63000060,25.049469,121.516874,旅宿場所,飯店,B3F中控室,B3 中控室,0.0,0.0,62.0,臺北市立聯合醫院(中興院區),738.7,1.5
台北君品大酒店,承德路一段三號,63000060,25.049469,121.516874,旅宿場所,飯店,17樓健身房,君品酒店17樓健身房,0.0,0.0,62.0,臺北市立聯合醫院(中興院區),738.7,1.5
天龍興業股份有限公司(天龍三溫暖),重慶北路一段73號9樓,63000060,25.052151,121.514191,大型公眾浴場或溫泉區,大型公眾浴場,大廳,大廳,15.2,50.0,156.6,臺北市立聯合醫院(中興院區),477.2,1.0
嘉和智能科技股份有限公司 中山營業處（PULSE GYM)中山店,南京西路32號2樓,63000060,25.052635,121.519713,學校、大型集會場所,健身房,櫃台左側,放置於櫃檯入口的左手邊,62.4,68.9,109.7,馬偕紀念醫院(台北院區),675.8,1.4
臺北市大同區公所建功里里民活動場所,重慶北路一段83巷37號,63000060,25.052949,121.515472,其他,其他場所,重慶北路一段83巷37號,臺北市大同區公所建功里里民活動場所內右側,143.8,156.6,189.0,臺北市立聯合醫院(中興院區),629.2,1.3
大稻埕碼頭貨櫃市集,民生西路底(5號水門-大稻埕碼頭貨櫃市集),63000060,25.0561283,121.5074276,觀光旅遊地區,地方政府主管風景區,服務台,大稻埕碼頭貨櫃市集服務台,31.5,277.4,344.9,臺北市立聯合醫院(中興院區),633.2,1.3
