場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點,AED地點描述
臺北捷運民權西路站R13,民權西路72號R13,63000060,25.062612,121.519528,交通要衝,捷運站,捷運淡水信義線民權西路站1F大廳層C016儲藏室旁(付費區),捷運淡水信義線民權西路站1F大廳層C016儲藏室旁(付費區)
臺北捷運圓山站R14,酒泉街9之1號,63000060,25.071353,121.520118,交通要衝,捷運站,捷運淡水信義線圓山站1號出口女廁旁(付費區),捷運淡水信義線圓山站1號出口女廁旁(付費區)
臺北市立建成國民中學,長安西路37之1號,63000060,25.051648,121.518626,學校、大型集會場所,國中,建成國中警衛室,門口警衛室內
好團健身空間,承德路三段244號一樓,63000060,25.0731552,121.5188064,其他,其他場所,飲水機上方,好團健身空間
臺北市藝文推廣處-大稻埕戲苑,迪化街一段21號8、9樓,63000060,25.054862,121.51055,其他,其他場所,9樓服務台,9樓服務台(面對)右方
陽明海運股份有限公司重慶大樓,重慶北路2段243號,63000060,25.062502,121.5139,其他,其他場所,陽明海運重慶大樓1樓大廳,重慶大樓大門出入口，進門左側。
臺北市大同區大龍國民小學,哈密街47號,63000060,25.073409,121.516692,其他,其他場所,臺北市大同區大龍國民小學	北側警衛室外,臺北市大同區大龍國民小學北側警衛室外
臺北市大同區日新國民小學,太原路151號,63000060,25.054389,121.516476,其他,其他場所,日新國小紅樓外走廊(鄰近太原路門口),日新國小紅樓外走廊(鄰近太原路門口)
臺北市政府環境保護局大同區清潔隊大龍分隊,承德路3段303之1號,63000060,25.076082,121.520677,其他,其他場所,在會議室,在會議室
臺北市政府環境保護局環保稽查大隊,重慶北路3段347號4樓,63000060,25.0748652,121.5140597,其他,其他場所,2樓勤務中心,2樓勤務中心
臺北市政府環境保護局大同區清潔隊蘭州分隊,敦煌路 臨151-1號,63000060,25.07651073,121.5116733,其他,其他場所,大門右前方,大門右前方
臺北市政府環境保護局大同區清潔隊延平分隊,環河北路一段 臨63-1號,63000060,25.05258854,121.507413,其他,其他場所,大門進去正前方,大門進去正前方
臺北市政府環境保護局公廁管理隊,重慶北路三段347號2樓,63000060,25.074865,121.51406,其他,其他場所,門口左側,門口左側
臺北市政府環境保護局直屬隊機動分隊,鄭州路 臨50號,63000060,25.05021259,121.508718,其他,其他場所,警衛室門口,警衛室門口
臺北市政府環境保護局大同區清潔隊建成分隊,民權西路194號之1,63000060,25.062771,121.514414,其他,其他場所,大門進去直走左邊,大門進去直走左邊
臺北市政府環境保護局環保稽查大隊,重慶北路3段347號4樓,63000060,25.0748652,121.5140597,其他,其他場所,5樓梯廳,5樓梯廳
臺北市立聯合醫院中興院區,鄭州路145號,63000060,25.051196,121.50865,其他,其他場所,面對1樓大廳藥局左側,面對1樓大廳藥局左側
臺北市大同區日新國民小學,太原路151號,63000060,25.054389,121.516476,其他,其他場所,旺台樓一樓(通往游泳池梯間),旺台樓一樓(通往游泳池梯間)
台北互舍酒店,台北市大同區重慶北路二段172號,63000060,25.0593921,121.5133139,旅宿場所,旅館,本飯店大廳,櫃台旁邊，階梯上方。
建成國中地下停車場,長安西路37號之1 B1,63000060,25.050409,121.519657,其他,其他場所,長安西路37號之1 B1,管理室旁
?聰學校地下停車場,延平北路4段205號B1,63000060,25.074343,121.511706,其他,其他場所,延平北路4段205號B1,管理室旁
大龍國小地下停車場,哈密街47號B1,63000060,25.073409,121.516693,其他,其他場所,哈密街47號B1,管理室旁
臺灣新文化運動紀念館,寧夏路87號,63000060,25.059009,121.51515,大型休閒場所,博物館,1樓遊客休憩區,1樓遊客休憩區
星聚點壹號文創股份有限公司延平分公司,延平北路二段83號,63000060,25.0563616,121.5121508,大型休閒場所,視聽歌唱場所,左手處櫃台,大門進來左手邊第一個櫃台內
新芳春茶行,民生西路309號,63000060,25.057081,121.512548,大型休閒場所,博物館,新芳春茶行,入口處右側
臺北市立民權國民中學,重慶北路3段1號,63000060,25.063802,121.513866,其他,其他場所,民權國中校門口警衛室內沙發椅旁邊,學校位於重慶北路與民權西路交叉口
臺北市大同區延平國民小學,昌吉街97號,63000060,25.066047,121.512454,其他,其他場所,學務處門旁,校門進入，至穿堂，左側第1間學務處，門旁
臺北市立重慶國民中學,敦煌路19號,63000060,25.076266,121.518102,學校、大型集會場所,國中,中庭/總務處外牆,由校門口進入後，直走，穿過中庭，即可看到總務處右側外牆。
臺北市立成淵高級中學,承德路2段235號,63000060,25.061177,121.518454,學校、大型集會場所,高中職,健康中心前走廊,學校內健康中心前面
樸苒安有限公司,承德路三段25號2.3樓,63000060,25.0640643,121.5185486,學校、大型集會場所,健身中心,櫃台左前方,2廁所、飲水機左側
承攜行旅台北重慶館,重慶北路一段62號,63000060,25.0518459,121.5138259,旅宿場所,旅館,旅館大廳,旅館一樓大廳
臺北車站智選假日酒店,重慶北路一段73號,63000060,25.0522756,121.5142533,旅宿場所,飯店,櫃台旁,櫃台右側
臺北市立圖書館大同分館,重慶北路3段318號,63000060,25.074304,121.513555,大型休閒場所,圖書館,臺北市立圖書館大同分館入口處右側，服務台旁之牆面。,臺北市立圖書館大同分館入口處右側，服務台旁之牆面。
臺北試演場,延平北路四段200號2樓,63000060,25.075687,121.5116,大型休閒場所,演藝廳,二樓大廳,設置位置於2樓大廳
臺北市大同區太平國民小學,延平北路二段239號,63000060,25.061411,121.511471,其他,其他場所,行政大樓一樓,行政大樓一樓穿堂，總務處門口旁
臺北市政府工務局衛生下水道工程處,酒泉街235號,63000060,25.0725688,121.5104486,其他,其他場所,本處1樓大廳,本處1樓大廳收發室旁
京站實業股份有限公司,承德路一段一號,63000060,25.049449,121.517916,大型購物場所,百貨業,1F Q1出入口,1F 客服中心前
京站實業股份有限公司,承德路一段一號,63000060,25.049135,121.518315,大型購物場所,百貨業,B3 東側,B3 東側手扶梯旁
臺北市立成淵高級中學,承德路2段235號,63000060,25.061177,121.518454,學校、大型集會場所,高中職,學生活動中心1樓,成淵高級中學學生活動中心1樓
臺北市大同區大橋國民小學,重慶北路三段2號,63000060,25.06428715,121.5133787,學校、大型集會場所,國小,大橋國小川堂,川堂右側
臺北市立忠孝國民中學,西寧北路32號,63000060,25.051223,121.508218,學校、大型集會場所,國中,穿堂左側牆面,"由校門進入,面對穿堂左側牆面"
臺北市大同運動中心,大龍街51號,63000060,25.064769,121.516146,學校、大型集會場所,健身中心,大同運動中心1F梯廳,本中心1F大廳電梯旁位置
給力健身房火山店,南京西路76號B1,63000060,25.05294914,121.5184056,大型休閒場所,運動場館(如小巨蛋),場館中間,場館中間靠牆，飲水機區域
活躍肌力訓練工作室,雙連街53巷14號1樓,63000060,25.0592579,121.5195186,學校、大型集會場所,健身中心,活躍肌力訓練工作室,教室內
財政部關務署,塔城街13號,63000060,25.0513582,121.5108156,其他,其他場所,關務署主樓1F,大廳1樓右邊
