場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點,AED地點描述
交通部臺灣鐵路管理局臺北運務段臺北站,北平西路3號1樓,63000050,25.047924,121.517081,交通要衝,台鐵車站,B1剪票口,U-1層中央廊道剪票閘門斜前方柱邊
More Fit 松江店,南京東路二段125號B1,63000040,25.052255,121.5342129,學校、大型集會場所,健身房,門口左手邊,入口進來左手邊
Switch ON 妳的運動空間,忠孝東路五段625號,63000020,25.041791,121.579242,學校、大型集會場所,健身房,受信總機上,AED為黃色外殼，在腿推機上後方牆面的受信總機上，極為明顯，從外頭路過的民眾可以透過落地窗一眼就看到
Joysport樂適能運動,民生東路五段206-6至8號一樓,63000010,25.05817763,121.5557131,學校、大型集會場所,健身房,門口,建成花園大廈中庭 管理員室對面
台北市中華基督教青年會唭哩岸會館,承德路七段312號,63000120,25.117058,121.504508,學校、大型集會場所,健身房,1樓櫃台旁,ＹＭＣＡ唭哩岸會館
WEEEFITNESS,市民大道三段143號2F,63000040,25.0448961,121.5392718,學校、大型集會場所,健身房,櫃檯,櫃台門口
漢普頓酒店,建國北路二段7號,63000040,25.0527114,121.5372562,旅宿場所,旅館,飯店大廳,AED設備位於飯店大廳電梯前方
超人運動事業有限公司,南京東路五段202號2樓,63000010,25.0512257,121.5647943,其他,其他場所,教室櫃台,教室櫃台左側
明曜百貨股份有限公司,忠孝東路4段200號1樓,63000030,25.041232,121.552014,大型購物場所,百貨業,明曜百貨大門口,1F Uniqlo大門口右側柱子
財團法人臺北市基督教伯大尼兒少家庭基金會,保儀路129號,63000080,24.9848065,121.5670808,其他,其他場所,本園大廳,家園大樓1F梯廳處
喜都(男仕)三溫暖,南京東路五段38號B1,63000010,25.051244,121.559476,其他,,B區影片室門口,更衣室前往餐廳的電動門進入之後右手邊
交通部臺灣鐵路管理局臺北運務段臺北站,北平西路3號1樓,63000050,25.047924,121.517081,交通要衝,台鐵車站,B1東出口,U-1層東出口補票口旁
和泰興業股份有限公司,新湖一路36巷18號1樓,63000100,25.0588277,121.5744262,其他,其他場所,1樓大廳,1樓大廳
香港商世界健身事業有限公司大直北安分公司,北安路554巷19號B1,63000040,25.0801763,121.5489498,學校、大型集會場所,健身房,台北市中山區北安路554巷19號B1,台北市中山區北安路554巷19號B1(香港商世界健身事業有限公司大直北安分公司)心肺區
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58201,第33排ABC行李艙
臺北市立大學天母校區,忠誠路二段101號,63000110,25.115897,121.537253,學校、大型集會場所,大專院校,體育館一樓保全櫃台旁,場館近忠誠路二段之大門入口左側
內雙溪自然中心,至善路三段150巷27號,63000110,25.114503,121.577824,其他,其他場所,辦公室旁,內雙溪自然中心辦公室旁
臺北市鐵觀音包種茶研發推廣中心,指南路三段40巷8-2號,63000080,24.96910948,121.5943158,其他,其他場所,大廳,大廳左側，視聽教室旁
貴子坑露營場,秀山路161號,63000120,25.14857336,121.4934427,其他,其他場所,露營區入口處,露營區入口處，左邊警衛室（小木屋）內
圓山風景區藍鵲地景區,中山北路4段1號,63000040,25.080496,121.52845,其他,其他場所,藍鵲地景區,圓山大飯店停車場旁藍鵲地景
仙跡岩風景區仙岩廟,景興路243巷,63000080,24.992613,121.548003,觀光旅遊地區,地方政府主管風景區,仙岩廟,柱子旁邊
九蓮寺,劍南路203巷6號,63000110,25.1002116,121.5554774,其他,其他場所,正殿,正殿左側
樟山寺,老泉街45巷29號,63000080,24.97301951,121.57935,其他,其他場所,主殿旁建築物,位於主殿左側之建築物外側
